BC01	20230924_HD19046
BC04	20230924_HD19045
BC05	20230924_HD19033
BC06	20230924_HD19032
BC12	20230924_HD19031
BC17	20230924_HD19029
BC24	20230924_HD19027
BC27	20230924_HD19026
BC32	20230924_HD19017
BC47	20230924_HD19016
BC49	20230924_HD19015
BC51	20230924_HD19014
BC55	20230924_HD19013
BC60	20230924_HD19012
BC64	20230924_HD19010
BC68	20230924_HD19008
BC72	20230924_HD19006
BC76	20230924_HD19004
BC78	20230924_HD18002
BC82	20230924_HD18001
