BC01	20230907_HD18001
BC04	20230907_HD18002
BC05	20230907_HD19004
BC06	20230907_HD19006
BC12	20230907_HD19008
BC17	20230907_HD19010
BC24	20230907_HD19012
BC27	20230907_HD19013
BC32	20230907_HD19014
BC47	20230907_HD19015
BC49	20230907_HD19016
BC51	20230907_HD19017
BC55	20230907_HD19026
BC60	20230907_HD19027
BC64	20230907_HD19029
BC68	20230907_HD19031
BC72	20230907_HD19032
BC76	20230907_HD19033
BC78	20230907_HD19045
BC82	20230907_HD19046
