BC01	20230728_FB_03
BC04	20230728_FB_18
BC05	20230728_FB_35
BC06	20230728_FB_04
BC09	20230728_FB_02
BC12	20230728_FB_13
BC17	20230728_FB_17
BC24	20230728_FB_19
BC27	20230728_FB_34
BC32	20230728_FB_31
BC36	20230728_FB_05
BC47	20230728_FB_06
BC51	20230728_FB_15
BC55	20230728_FB_24
BC60	20230728_FB_10
BC68	20230728_FB_32
BC72	20230728_FB_12
BC78	20230728_FB_14
