BC10	20240725_FB36
BC44	20240725_FB37
BC50	20240725_FB38
BC09	20240725_FB39
BC54	20240725_FB40
BC64	20240725_FB41
BC27	20240725_FB42
BC22	20240725_FB43
BC01	20240725_FB44
BC68	20240725_FB45
BC15	20240725_FB46
BC24	20240725_FB47
BC26	20240725_FB48
BC32	20240725_FB49
BC81	20240725_FB50
BC72	20240725_FB51
BC49	20240725_FB52
BC79	20240725_FB53
BC74	20240725_FB54
BC51	20240725_FB55
BC13	20240725_FB56
BC47	20240725_FB57
BC53	20240725_FB58
BC73	20240725_FB59
BC25	20240725_FB60
BC14	20240725_FB61
BC40	20240725_FB62
BC60	20240725_FB63
BC37	20240725_FB64
BC04	20240725_FB65
BC36	20240725_FB66
BC35	20240725_TMD57
BC12	20240725_TC76
BC66	20240725_TW53




