BC01	20230220_HD18003
BC04	20230220_HD19064
BC05	20230220_SP_9000_2
BC06	20230220_Bulk_50000_1
BC09	20230220_HD18002
BC12	20230220_BERL_0236_MS
BC17	20230220_BERL_0022_MS
BC24	20230220_BERL_0254_MS
BC27	20230220_Bulk_50000_2
BC32	20230220_HD7036
BC36	20230220_HD19055
BC47	20230220_BERL_0238_MS
BC49	20230220_SP_9000_1
BC51	20230220_BERL_0251_MS
BC55	20230220_DP_152_2
BC60	20230220_BERL_0273_MS
BC64	20230220_HD19068
BC68	20230220_HD19007
BC72	20230220_BERL_0012_MS
BC78	20230220_DP_152_1
