BC18	20241028_HD21072
BC17	20241028_HD19025
BC04	20241028_HD19024
BC68	20241028_HD19054
BC24	20241028_HD19066
BC21	20241028_HD21074
BC25	20241028_HD19067
BC01	20241028_HD19048
BC74	20241028_HD19018
BC10	20241028_HD19023
