BC01	20230504_HD19006
BC04	20230504_BIH110
BC05	20230504_HD19030
BC06	20230504_BIH060
BC09	20230504_BIH152
BC12	20230504_BIH148
BC17	20230504_BIH073
BC24	20230504_BIH151
BC27	20230504_BIH067
BC32	20230504_HD19059
BC36	20230504_HD7036
BC47	20230504_HD19061
BC49	20230504_HD19031
BC51	20230504_BIH141
BC55	20230504_BIH116
BC60	20230504_HD19056
BC64	20230504_HD19015
BC68	20230504_HD19007
BC72	20230504_BIH050
BC78	20230504_HD19005
