BC01	20230904_FB_06
BC04	20230904_FB_31
BC05	20230904_FB_12
BC06	20230904_FB_13
BC12	20230904_FB_04
BC17	20230904_FB_15
BC24	20230904_FB_02.1
BC27	20230904_FB_05
BC32	20230904_FB_18
BC36	20230904_FB_34
BC47	20230904_FB_03
BC51	20230904_FB_17
BC55	20230904_FB_10
BC60	20230904_FB_24
BC68	20230904_FB_14
BC72	20230904_FB_35
BC78	20230904_FB_32
BC82	20230904_FB_02.2
BC91	20230904_FB_19
