BC01	20230710_HD19006
BC04	20230710_BIH110
BC05	20230710_HD19031
BC06	20230710_BIH148
BC09	20230710_HD19059
BC12	20230710_BIH060
BC17	20230710_BIH050
BC24	20230710_BIH151
BC27	20230710_BIH067
BC32	20230710_BIH152
BC36	20230710_HD7036
BC47	20230710_HD19007
BC49	20230710_HD19030
BC51	20230710_BIH116
BC55	20230710_BIH141
BC60	20230710_HD19056
BC64	20230710_HD19015
BC68	20230710_HD19061
BC72	20230710_BIH073
BC78	20230710_HD19005
