BC01	20230925_HD19015
BC04	20230925_HD19014
BC05	20230925_HD19013
BC06	20230925_HD19012
BC12	20230925_HD19010
BC17	20230925_HD19008
BC24	20230925_HD19006
BC27	20230925_HD19004
BC32	20230925_HD18002
BC47	20230925_HD18001
BC49	20230925_HD19046
BC51	20230925_HD19045
BC55	20230925_HD19033
BC60	20230925_HD19032
BC64	20230925_HD19031
BC68	20230925_HD19029
BC72	20230925_HD19027
BC76	20230925_HD19026
BC78	20230925_HD19017
BC82	20230925_HD19016
