"","material","Batch","Sample","clusters","clusters_eff","cluster_size_mean","cluster_size_std","cluster_gini","cluster_entropy","cluster_inverse_simpson","occupancy_top_cluster","occupancy_big_clusters","alpha_ratio_clusters","pct_clusters_Sa","pct_clusters_Sg3","pct_clusters_Sg2b","pct_clusters_Sg2c","pct_clusters_Sm","pct_clusters_Sg1","pct_templated_inserts","pct_inversions","pct_duplications","duplication_size","inversion_size","homology_score_fw","homology_score_rv","donor_score_S","donor_score_W","donor_score_WGCW","donor_score_GAGCT","donor_score_GGGST","donor_complexity","acceptor_score_S","acceptor_score_W","acceptor_score_WGCW","acceptor_score_GAGCT","acceptor_score_GGGST","acceptor_complexity","homology","untemplated_inserts","pct_blunt","read_length_mean","read_length_std","GC_content_mean","GC_content_std","read_length_SA_mean","read_length_SG_mean","read_length_SA_std","read_length_SG_std","pct_direct_switch","pct_sequential_switch","pct_intraswitch_deletion","intraswitch_size_mean","intraswitch_size_std","break_dispersion_SM","break_dispersion_SA","break_dispersion_SG","break_dispersion_SG1","break_dispersion_SG2B","break_dispersion_SG2C","break_dispersion_SG3","pct_breaks_SM_SM","pct_breaks_SM_SG","pct_breaks_SG_SG","pct_breaks_SM_SA","pct_breaks_SG_SA","pct_breaks_SA_SA","homology_score_fw_SM_SA","homology_score_rv_SM_SA","homology_score_fw_SM_SG","homology_score_rv_SM_SG","donor_score_GAGCT_SM_SG","donor_score_GGGST_SM_SA","donor_score_GGGST_SM_SG","donor_score_S_SM_SA","donor_score_S_SM_SG","donor_score_W_SM_SA","donor_score_W_SM_SG","donor_score_WGCW_SM_SA","donor_score_WGCW_SM_SG","donor_score_GAGCT_SM_SA","donor_complexity_SM_SG","donor_complexity_SM_SA","acceptor_score_GAGCT_SM_SA","acceptor_score_GAGCT_SM_SG","acceptor_score_GGGST_SM_SA","acceptor_score_GGGST_SM_SG","acceptor_score_S_SM_SA","acceptor_score_WGCW_SM_SG","acceptor_score_S_SM_SG","acceptor_score_W_SM_SA","acceptor_score_W_SM_SG","acceptor_score_WGCW_SM_SA","acceptor_complexity_SM_SA","acceptor_complexity_SM_SG","homology_SA","homology_SG","untemplated_inserts_SA","untemplated_inserts_SG","pct_blunt_SA","pct_blunt_SG","clusters_raw","clusters_eff_raw","cluster_size_mean_raw","cluster_size_std_raw","cluster_gini_raw","cluster_entropy_raw","cluster_inverse_simpson_raw","occupancy_top_cluster_raw","occupancy_big_clusters_raw","somatic_variants","frac_variants_transitions","num_variants"
"1","splenocytes","20240817","20240817_S.A1",178.6,100.862830014809,0.005621124776437,0.0073115200107021,0.534829196747094,0.898708099886479,66.1997617610408,0.0628029504741833,0.514330874604847,0.0618556701030927,6.18556701030927,12.3711340206186,34.7079037800687,15.807560137457,0,30.9278350515464,3.43642611683848,2.40731174175372,0.5126682412994,3481,276,0.0941417989343987,0.028221852779945,0.0015038877087709,0.0012583094957115,0.0036512110699403,0.0009609348446197,0.0004943507172104,0.0009980045788952,0.0014673232169562,0.001299827914404,0.0019235939351109,0.0015191518717176,0.0006163694742205,0.0013498239917886,1.76452939168751,18.0494717715129,1.37457044673539,3984.35051546392,1258.36366534175,0.499261277026493,0.0209148096914257,1774.83333333333,4130.03296703297,546.093220572784,1151.13438031819,79.0754849868195,3.30629205519802,17.6182229579825,742.089832578516,775.324107048504,398.312140363876,488.782965368253,6964.59542361209,1439.71789013202,1067.88951832201,1075.19536044714,1032.74479248689,11.1397803194648,74.6670955798888,8.95775649706633,4.40838940693069,0.55104867586633,0.27592952078306,0.173192203619648,0.0078290428827035,0.0597996330126674,0.0299466675983411,0.0340679372707608,0.0056147284329976,0.0056147284329976,0.0150753125141226,0.0150753125141226,0.0133361093678487,0.0133361093678487,0.0206787603326934,0.0206787603326934,0.0340679372707608,0.0121705448576312,0.0121705448576312,0,0.0018616131058861,0,0.0007158580926339,0.0127316340551918,0.0021600570403374,0.0018426045174281,0.0122345652672265,0.0016550454911914,0.0213502796090109,0.0127981672215739,0.0017500926226803,2.62897558471061,1.70668540851125,14.3747877831934,18.2953614064191,0,1.46520146520146,291,169.610338062477,0.0034364261168384,0.0062079981678171,0.672679526041627,0.846619362291158,68.4331260223711,0.0664912096010106,0.496999684177282,1172,0.396057347670251,3348
"2","splenocytes","20240817","20240817_S.A2",112.2,67.611820052791,0.0089436283969386,0.0098276330928373,0.544284010662444,0.893542999630234,50.6966038295922,0.049631190727081,0.742255005268704,0.0335570469798657,3.35570469798657,20.1342281879195,34.2281879194631,26.1744966442953,0,16.1073825503356,2.68456375838926,0,0.87409142882177,3404,0,0.109262582990441,0.0242755017989533,0.0015490006852093,0.0012070844040647,0.0040504744143053,0.0007168528054669,0.0003959346382454,0.0009013422496319,0.0014493992033578,0.0013201803564671,0.0018941272875987,0.0015316117201091,0.0014037566801429,0.0013571586013973,1.86094601642327,23.3898718714139,1.34228187919463,4093.85234899329,1354.56845390699,0.500316162723947,0.0201082145279852,1565.4,4181.64583333333,115.926873502221,1291.66945950639,81.9271582917649,2.24457967922643,15.8282620290087,295.021301404756,169.652603452615,394.155013613733,255.724992777472,8302.25065768074,1436.2370337587,1219.13693578991,1321.80475009269,815.08988177693,12.1276071942361,79.1214336927319,5.94523451399901,2.80572459903301,0,0,0.0811704871074983,0.026093872875357,0.0626499190168669,0.0266723371946794,0.0279953752250895,0.0043148584987113,0.0043148584987113,0.0155313078078876,0.0155313078078876,0.0127877097414265,0.0127877097414265,0.0223413874654478,0.0223413874654478,0.0279953752250895,0.0110994717833501,0.0110994717833501,0,0.0018842274046016,0,0.0021142984489085,0.0117985226585986,0.0021888585423842,0.0018118005335915,0.0133038388418633,0.0016897330060004,0.0111916860118298,0.0149365729268342,0.0017512807314804,0.865323412422022,1.89600315036698,2.4823393521768,24.1260525939222,0,1.38888888888888,149,102.647422286574,0.0067114093959731,0.0090316602765992,0.634286463067274,0.858104641234469,53.2370786393375,0.0474212643490205,0.702619616051281,334,0.403478260869565,1150
"3","splenocytes","20240817","20240817_S.A3",219.8,135.871241304403,0.0045551047665188,0.005116952138966,0.499460701908364,0.918108292415613,97.0628585055835,0.0399367755532138,0.392623814541623,0.0275,2.75,11.75,39.75,13.75,0,32,0.75,1.70341201132914,0.37726574747558,3882,417,0.116887622970454,0.0265434054804326,0.0015303279043427,0.001228287059857,0.0038649945013333,0.000882702241045,0.0003922279972453,0.0009525904563889,0.0014665387018273,0.0013007187192799,0.0020915815630659,0.0013529077046318,0.0002380921622194,0.0013349038707036,1.95500673430817,26.5806010578623,2,4219.775,1367.43281896223,0.502742373709858,0.0227763821964774,1622.45454545455,4293.22107969152,551.290776869301,1310.72368302085,76.478522481437,2.50433448931657,21.0171430292465,707.475059938164,952.595870176976,414.054346438535,798.238757850692,6823.40453917425,1299.53913673694,1308.39089670068,1321.94187791304,867.73081557315,12.9189776328141,74.359470221246,10.0240800443426,2.11905226019094,0,0.57841984140638,0.142352425067213,0.015856026006978,0.0614275629889769,0.0279416520685692,0.037071346149893,0.004467218050063,0.004467218050063,0.0153596811709025,0.0153596811709025,0.0129941153444967,0.0129941153444967,0.0220123485077957,0.0220123485077957,0.037071346149893,0.0114988708770913,0.0114988708770913,0,0.0016513094203741,0,0.0003615107232198,0.012018419943905,0.0023085754360227,0.0018213859957446,0.0130518535406753,0.0016789390820017,0.0144103920969656,0.012627084725443,0.0017665960016779,2.57893127820217,1.93722650119202,2.88688677445009,27.2558105322601,0,2.05655526992287,400,229.145583139038,0.0024999999999999,0.0042419032784753,0.6826144306889,0.853844456706273,103.311082739634,0.0387401044298467,0.389022233451238,477,0.412162162162162,3848
"4","splenocytes","20240817","20240817_S.A4",93.6,48.8630882552272,0.0107592028013663,0.0127361474608329,0.569483625611019,0.876650194644254,38.6269860897524,0.0618545837723919,0.789251844046365,0.103174603174603,10.3174603174603,5.55555555555555,42.0634920634921,23.015873015873,0,19.047619047619,3.17460317460317,3.90661528043363,0.02599951440022,3560,175,0.0985508567352477,0.028909307680956,0.0014875709199737,0.0012768369587058,0.0034566826584986,0.0011002139283339,0.0007778775341261,0.0010667027846433,0.0013990525014127,0.001377348263018,0.0019403555107982,0.001374336853086,0.0005751075918977,0.0013773197545633,1.6568311927313,21.2576272498272,0.79365079365079,3659.36507936508,1360.84535820176,0.491159978677818,0.0236038154031314,1555.30769230769,3901.42477876106,356.111344863974,1217.5634584346,73.1264702993498,4.64295049519673,22.2305792054534,513.995261746843,553.500462722307,341.185022890197,556.718101910415,6269.96423622476,740.445710810798,1074.53606740526,1462.73586559185,374.887235764818,11.6229377578737,66.1620445565546,13.5094855070776,6.96442574279519,0.5803688118996,1.16073762379922,0.144964414070924,0.0144477910339828,0.063290393327864,0.0277065806756809,0.0482242834294169,0.0093566246442318,0.0093566246442318,0.0150631046431967,0.0150631046431967,0.01335079108046,0.01335079108046,0.0199167319557648,0.0199167319557648,0.0482242834294169,0.0127729567454015,0.0127729567454015,0,0.0017215544884821,0,0.0002450480299388,0.0127107479454107,0.0022690646840127,0.0017543878556806,0.0122584991355164,0.0017543838357702,0.0186268069070068,0.0125649863121534,0.001771039878618,1.34201670773634,1.69304878835019,2.73971560901015,23.3880064651424,0,0.88495575221238,126,81.1837969666612,0.0079365079365079,0.0115019302316956,0.656560520768565,0.839966777143595,40.8608434716742,0.0577536136949211,0.777370190838028,646,0.469907407407407,864
"5","splenocytes","20240817","20240817_S.B1",94.8,57.618295104534,0.0105894793739221,0.0118357635847698,0.538417099526211,0.89045166439053,42.0743485583687,0.0653319283456269,0.77881981032666,0.121739130434783,12.1739130434783,11.3043478260869,43.4782608695652,18.2608695652174,0,14.7826086956522,2.60869565217391,1.3412112166352,0.66887277728836,3833,379,0.133501968452455,0.0278165185825624,0.0015473766241566,0.0012089285004385,0.0038356669497181,0.0015201367982254,0.0009464898876293,0.0009489831370661,0.0014634306669272,0.0013042478451583,0.0018528452094732,0.001308038886901,0.0002447939597011,0.0013211522240302,2.16966941816869,31.6762960890926,3.47826086956521,4123.92173913043,1281.81829511882,0.504018496380811,0.0201851532877158,2194.5,4391.36633663366,517.433052950538,1116.31388398588,77.8156566703708,2.04778043869396,20.1365628909352,479.281935260249,511.050134643452,438.689567340341,223.642513493047,6860.34295750083,1579.75522014475,1282.63592019996,1056.45028947187,481.496165029407,11.6467625799177,68.2593479564656,7.80578030380489,9.55630871390518,0,2.73180044590662,0.123058559424734,0.0161143146874097,0.0759906969803755,0.0320566296319204,0.066539067379787,0.0108442421180885,0.0108442421180885,0.0155820269392938,0.0155820269392938,0.0127267127243609,0.0127267127243609,0.0220325548563225,0.0220325548563225,0.066539067379787,0.0118570793538481,0.0118570793538481,0,0.0017996129582698,0,0.0004123338355441,0.0127640779808656,0.0021229776823873,0.0018302347999038,0.0121973870348019,0.0016689746882097,0.0122442028653838,0.0112911153981569,0.0017662594329776,3.54345314201371,1.97733969683038,24.2483049695195,32.7162148458329,0,3.96039603960396,115,82.3160903206466,0.008695652173913,0.0112954436261846,0.606109053950272,0.863762610838993,43.0281943765978,0.0628406330028235,0.772670562742137,25,0.814814814814815,27
"6","splenocytes","20240817","20240817_S.B2",58.6,28.68106049271,0.0171571828205072,0.0249340508953656,0.628697196686792,0.822796326029669,18.7556051098551,0.13216966115787,0.863932942960167,0,0,14.1025641025641,38.4615384615385,34.6153846153846,0,12.8205128205128,1.28205128205128,1.92362397411545,0,3352.5,124.5,0.0978404980918806,0.0293492908604663,0.0014357397831897,0.0013356904182099,0.0028382474236249,0.0013074516197528,0.0012653996182092,0.0011571649792554,0.0013848804215902,0.0013934404419219,0.0016154328406861,0.0015605332553719,0,0.0013926313011833,1.77324412176941,24.8207506031057,6.41025641025641,3770.67948717949,1437.17328946032,0.490104385109996,0.0284003955921636,0,3770.67948717949,0,1437.17328946032,76.3796132358451,7.12876390201223,16.4916228621426,691.481429242819,551.766703821859,502.148496971089,0,7334.06221482605,1037.50515823956,1154.36126314442,1881.66928144902,744.34672038366,9.16820565820542,76.3796132358451,14.4521811059494,0,0,0,0,0,0.0722539067781292,0.0277610528370044,0.0448006539421394,0.0151615158098979,0.0151615158098979,0.0142863137099169,0.0142863137099169,0.0142849933922899,0.0142849933922899,0.0161847527437163,0.0161847527437163,0.0448006539421394,0.014283816098257,0.014283816098257,0,0.0015472437541739,0,0,0,0.0019230469889022,0.0017265652193472,0,0.0017857141375571,0,0,0.0017473799482216,0,1.77324412176941,0,24.8207506031057,0,6.41025641025641,78,41.7169847585739,0.0128205128205128,0.0228851997385615,0.703752679556901,0.781541075182417,18.8154170591847,0.138077242142133,0.853166190432298,359,0.551282051282051,390
"7","splenocytes","20240817","20240817_S.B3",110.3,63.19894457772,0.009105563717334,0.0101161678674842,0.531758954261311,0.896847889123007,49.1885865851955,0.054267650158061,0.71886195995785,0.096551724137931,9.6551724137931,7.58620689655172,37.2413793103448,26.8965517241379,0,18.6206896551724,2.06896551724137,0.98909269603382,0.49454634801691,3538,377.5,0.107217950701087,0.0264787019852461,0.0014760525457323,0.0012899158956929,0.0034823828391451,0.0013758509834356,0.0007215280260347,0.0010554370533405,0.0014778811769138,0.0012878395130807,0.0022531855809032,0.0009866808953571,0.0002507035626383,0.0012908957356747,1.93181104876284,19.551487469136,0.68965517241379,3922.48965517241,1084.89102022049,0.498703112423567,0.0169393275969075,1961.71428571429,4132.03816793893,501.162566805769,906.169670550527,72.7891486922832,3.51395890238608,23.6968924053307,736.18185399495,785.786199258495,500.999230607304,430.52817391546,6269.6027375504,1389.13154427248,1192.89563638754,948.008950893627,379.049620932491,15.577538062123,66.2632250164233,10.6293249877691,6.5259236758599,0.50199412891229,0.50199412891229,0.110784614862194,0.0256802179119305,0.0653181215693827,0.0263531872568586,0.0641836980315452,0.0083607579833865,0.0083607579833865,0.0148721344147906,0.0148721344147906,0.0135804601216709,0.0135804601216709,0.0197618552322973,0.0197618552322973,0.0641836980315452,0.0128553534710237,0.0128553534710237,0,0.0013428778600379,0,0.0004177439031647,0.012944643695258,0.0022232974421294,0.0018321489996419,0.0119904726753909,0.0016668191607911,0.0258809317203478,0.0119059310544745,0.0017513640608996,1.84441056305652,1.94115155868565,18.0467127570916,19.7123030872171,0,0.76335877862595,145,104.45166473186,0.0068965517241379,0.0090893303776894,0.61173716454119,0.867793626086984,53.2106079017963,0.0508486175745962,0.704318368464276,1144,0.404192597445136,3053
"8","splenocytes","20240817","20240817_S.B4",100.8,50.4012968694233,0.0100123861892759,0.0144351773254108,0.608503674296266,0.852327593640818,32.331272705234,0.0887249736564804,0.753108535300316,0.122137404580153,12.2137404580153,14.5038167938931,19.8473282442748,16.030534351145,0,37.4045801526717,3.05343511450381,2.97674832840988,2.19821415021037,3610,231,0.109072261992469,0.0294593540001011,0.0015118679315985,0.001249248075296,0.0038301637651311,0.0009976329686375,0.0007649030265114,0.0009478576124143,0.0014885785679755,0.0012756927898809,0.0018876674232977,0.0013733193440211,1.96097610418436e-05,0.0012925527165779,1.71238526473636,38.5085859650246,0,4258.0534351145,1429.35154417636,0.507488769451577,0.018194541512445,1504.5,4641.15652173913,362.349623982142,1052.31433220394,82.2470607372601,1.25568031659939,16.4972589461405,466.373491618444,404.819183518333,433.552141360405,391.748125254953,7302.08713180038,1052.18963606962,1574.72560945899,754.302063589591,479.047475439504,12.5616846766587,73.4572985210644,3.3077341111821,8.78976221619572,1.25568031659939,0.62784015829969,0.0828103421995329,0.0094693449924713,0.0672631441431831,0.0334535038888386,0.0438456533783532,0.0082695493833544,0.0082695493833544,0.0152157844679875,0.0152157844679875,0.0131671717317028,0.0131671717317028,0.0208857186331416,0.0208857186331416,0.0438456533783532,0.011798996704843,0.011798996704843,0,0.001868741402043,0,0,0.0127347355992019,0.0020934632326645,0.0018704463453744,0.0122310111373952,0.0016236935782597,0.0093119676559265,0.0109472727401884,0.0017471404982993,1.11229638686464,1.79587589122286,17.3371983103232,41.4541703343743,0,0,131,73.727941263773,0.0076335877862595,0.0131619386752948,0.684713979249652,0.817523059202205,33.1627115733339,0.0861007778153534,0.737301318904295,4844,0.436054240893379,7522
"9","splenocytes","20240817","20240817_S.C1",199.2,120.264878526976,0.0050265317410938,0.0054279182711192,0.507570850662825,0.916150820332374,91.9617705502652,0.031717597471022,0.438250790305585,0.0548780487804878,5.48780487804878,7.01219512195122,42.0731707317073,19.8170731707317,0,25.609756097561,2.4390243902439,0.93129317850077,0,3991,373,0.115333328110344,0.0254323138436853,0.0015132333811645,0.001247697628292,0.0037218985565532,0.0006980570024649,0.0007975228371639,0.0009748378067714,0.0014444432803332,0.0013258077309206,0.0019789149648809,0.0010218733235215,0.0003374253301535,0.0013276080313831,1.9937135404765,17.1989781194113,1.21951219512195,4161.82012195122,1227.66655815402,0.501892148759536,0.019377025248577,1875.66666666667,4294.56451612903,401.285573016413,1124.38104293368,76.143870126901,1.41007166901668,22.4460582040823,682.474916934385,791.302006600737,425.413389329165,1029.35121211759,6321.53563514076,1288.94292233594,1359.04299414485,994.007100807725,673.88217010631,12.6984264934109,71.913655119851,9.27760782099915,4.23021500705005,0,1.8800955586889,0.105296780446248,0.0065883407340961,0.0586587710821103,0.029298246544744,0.0313210168666999,0.0071997723601719,0.0071997723601719,0.0152474112091193,0.0152474112091193,0.0131291360474341,0.0131291360474341,0.0211053084711453,0.0211053084711453,0.0313210168666999,0.0117610856810799,0.0117610856810799,0,0.0013171396485017,0,0.0005324787281289,0.0122459925548611,0.0022427840990921,0.0018014131212516,0.0127910729092363,0.0017014299839393,0.0097299896621925,0.0131702093531915,0.0017552579976825,2.59882373523484,1.95823476684246,3.86785009247238,17.9806077757139,0,1.29032258064516,328,211.515349985042,0.0030487804878048,0.0045380204069207,0.647985701916648,0.868897459395294,102.219207193918,0.026613888070072,0.400492693813955,381,0.402245088868101,3207
"10","splenocytes","20240817","20240817_S.C2",81,44.6994012409265,0.0124395410961613,0.0153956613058431,0.574159878790819,0.868781364011873,31.7110023193072,0.0765163641052317,0.798271220427454,0.114285714285714,11.4285714285714,20,28.5714285714286,26.6666666666667,0,13.3333333333333,1.9047619047619,4.24685149449229,0,3173,305,0.140980550203907,0.0288027927907831,0.0015381707465594,0.0012193816330145,0.0039913559426492,0.0009099847206047,0.000668181791262,0.0009231739002536,0.0014719882480306,0.0012945308432908,0.0021924093843044,0.0025890734537488,0.0005396567232742,0.0012962110702699,2.03709125973326,23.6217292434989,3.80952380952381,3841.9619047619,1216.82112723753,0.499629004560745,0.0216934601796395,1701.91666666667,4118.09677419355,333.661369838077,995.062315706977,76.8769421372765,2.21760410011375,20.9054537626097,517.960150283361,731.366492590979,406.499678618067,301.432132230762,8570.62523969811,1548.53912997046,1072.23990302626,873.880522543183,477.046520308288,14.8176227740298,68.0065257368216,5.34862962187535,8.87041640045495,0,2.95680546681828,0.082869118135362,0.0280133888552258,0.0790957820256964,0.0343970709359051,0.0365968242421228,0.0074692140881645,0.0074692140881645,0.0154996560438237,0.0154996560438237,0.0128257755193536,0.0128257755193536,0.0222638803425201,0.0222638803425201,0.0365968242421228,0.0112749403001339,0.0112749403001339,0,0.0035764927696402,0,0.0009425856619266,0.0122169487759517,0.00249918827295,0.0018369167911994,0.012824354836141,0.0016614502824949,0.0105067461868091,0.0131335172083221,0.0017575743070653,1.994909588741,2.04253405599033,5.73487907758515,25.9297099100684,0,4.3010752688172,105,66.9467392255634,0.0095238095238095,0.0143629426615723,0.654750638063048,0.832751313238789,32.2805586492781,0.0730564944471269,0.7917914051183,399,0.393087855297158,3096
