"","isotype","n_homology","n","frac","Sample","celltype","Genotype"
"479","Sa","6",5,0.0128205128205128,"SRR6293474","CH12","Lig4"
"480","Sa","7",3,0.00769230769230769,"SRR6293474","CH12","Lig4"
"481","Sa","8",1,0.00256410256410256,"SRR6293474","CH12","Lig4"
"482","Se","4",1,1,"SRR6293474","CH12","Lig4"
"483","Sa","0",28,0.0742705570291777,"SRR6293475","CH12","Lig4"
"484","Sa","1",39,0.103448275862069,"SRR6293475","CH12","Lig4"
"485","Sa","2",118,0.312997347480106,"SRR6293475","CH12","Lig4"
"486","Sa","3",84,0.222811671087533,"SRR6293475","CH12","Lig4"
"487","Sa","4",48,0.127320954907162,"SRR6293475","CH12","Lig4"
"488","Sa","5",34,0.0901856763925729,"SRR6293475","CH12","Lig4"
"489","Sa","6",5,0.013262599469496,"SRR6293475","CH12","Lig4"
"490","Sa","7",3,0.00795755968169761,"SRR6293475","CH12","Lig4"
"491","Se","2",2,0.5,"SRR6293475","CH12","Lig4"
"492","Se","3",2,0.5,"SRR6293475","CH12","Lig4"
"493","Sg1","2",1,1,"SRR6293475","CH12","Lig4"
"494","Sa","0",14,0.0619469026548673,"SRR6293476","CH12","Lig4"
"495","Sa","1",22,0.0973451327433628,"SRR6293476","CH12","Lig4"
"496","Sa","2",69,0.305309734513274,"SRR6293476","CH12","Lig4"
"497","Sa","3",51,0.225663716814159,"SRR6293476","CH12","Lig4"
"498","Sa","4",40,0.176991150442478,"SRR6293476","CH12","Lig4"
"499","Sa","5",15,0.0663716814159292,"SRR6293476","CH12","Lig4"
"500","Sa","6",2,0.00884955752212389,"SRR6293476","CH12","Lig4"
"501","Sa","8",1,0.00442477876106195,"SRR6293476","CH12","Lig4"
"502","Se","3",1,1,"SRR6293476","CH12","Lig4"
"503","Sa","0",500,0.11671335200747,"SRR6293477","CH12","Lig4"
"504","Sa","1",664,0.15499533146592,"SRR6293477","CH12","Lig4"
"505","Sa","2",926,0.216153127917834,"SRR6293477","CH12","Lig4"
"506","Sa","3",953,0.222455648926237,"SRR6293477","CH12","Lig4"
"507","Sa","4",634,0.147992530345472,"SRR6293477","CH12","Lig4"
"508","Sa","5",406,0.0947712418300654,"SRR6293477","CH12","Lig4"
"509","Sa","6",58,0.0135387488328665,"SRR6293477","CH12","Lig4"
"510","Sa","7",20,0.00466853408029879,"SRR6293477","CH12","Lig4"
"511","Sa","8",5,0.0011671335200747,"SRR6293477","CH12","Lig4"
"512","Sa","9",1,0.000233426704014939,"SRR6293477","CH12","Lig4"
"513","Sa","10",1,0.000233426704014939,"SRR6293477","CH12","Lig4"
"514","Se","1",1,0.0714285714285714,"SRR6293477","CH12","Lig4"
"515","Se","2",3,0.214285714285714,"SRR6293477","CH12","Lig4"
"516","Se","3",1,0.0714285714285714,"SRR6293477","CH12","Lig4"
"517","Se","4",3,0.214285714285714,"SRR6293477","CH12","Lig4"
"518","Se","5",3,0.214285714285714,"SRR6293477","CH12","Lig4"
"519","Sg1","0",4,0.235294117647059,"SRR6293477","CH12","Lig4"
"520","Sg1","2",1,0.0588235294117647,"SRR6293477","CH12","Lig4"
"521","Sg1","3",1,0.0588235294117647,"SRR6293477","CH12","Lig4"
"522","Sg1","4",7,0.411764705882353,"SRR6293477","CH12","Lig4"
"523","Sg1","5",2,0.117647058823529,"SRR6293477","CH12","Lig4"
"524","Sg1","6",2,0.117647058823529,"SRR6293477","CH12","Lig4"
"525","Sa","0",654,0.0997255260750229,"SRR6293478","CH12","Lig4"
"526","Sa","1",950,0.144861238182373,"SRR6293478","CH12","Lig4"
"527","Sa","2",1538,0.234522720341568,"SRR6293478","CH12","Lig4"
"528","Sa","3",1480,0.225678560536749,"SRR6293478","CH12","Lig4"
"529","Sa","4",978,0.149130832570906,"SRR6293478","CH12","Lig4"
"530","Sa","5",622,0.0948459896309851,"SRR6293478","CH12","Lig4"
"531","Sa","6",148,0.0225678560536749,"SRR6293478","CH12","Lig4"
"532","Sa","7",37,0.00564196401341873,"SRR6293478","CH12","Lig4"
"533","Sa","8",3,0.000457456541628545,"SRR6293478","CH12","Lig4"
"534","Se","1",5,0.208333333333333,"SRR6293478","CH12","Lig4"
"535","Se","3",5,0.208333333333333,"SRR6293478","CH12","Lig4"
"536","Se","4",9,0.375,"SRR6293478","CH12","Lig4"
"537","Se","6",5,0.208333333333333,"SRR6293478","CH12","Lig4"
"538","Sg1","0",12,0.315789473684211,"SRR6293478","CH12","Lig4"
"539","Sg1","1",7,0.184210526315789,"SRR6293478","CH12","Lig4"
"540","Sg1","2",7,0.184210526315789,"SRR6293478","CH12","Lig4"
"541","Sg1","3",4,0.105263157894737,"SRR6293478","CH12","Lig4"
"542","Sg1","4",2,0.0526315789473684,"SRR6293478","CH12","Lig4"
"543","Sg1","5",3,0.0789473684210526,"SRR6293478","CH12","Lig4"
"544","Sg1","6",1,0.0263157894736842,"SRR6293478","CH12","Lig4"
"545","Sa","0",619,0.102314049586777,"SRR6293479","CH12","Lig4"
"546","Sa","1",798,0.131900826446281,"SRR6293479","CH12","Lig4"
"547","Sa","2",1459,0.241157024793388,"SRR6293479","CH12","Lig4"
"548","Sa","3",1322,0.218512396694215,"SRR6293479","CH12","Lig4"
"549","Sa","4",988,0.163305785123967,"SRR6293479","CH12","Lig4"
"550","Sa","5",526,0.0869421487603306,"SRR6293479","CH12","Lig4"
"551","Sa","6",92,0.0152066115702479,"SRR6293479","CH12","Lig4"
"552","Sa","7",76,0.0125619834710744,"SRR6293479","CH12","Lig4"
"553","Sa","8",26,0.00429752066115702,"SRR6293479","CH12","Lig4"
"554","Sa","10",3,0.000495867768595041,"SRR6293479","CH12","Lig4"
"555","Se","0",4,0.121212121212121,"SRR6293479","CH12","Lig4"
"556","Se","1",2,0.0606060606060606,"SRR6293479","CH12","Lig4"
"557","Se","2",15,0.454545454545455,"SRR6293479","CH12","Lig4"
"558","Se","3",11,0.333333333333333,"SRR6293479","CH12","Lig4"
"559","Se","5",1,0.0303030303030303,"SRR6293479","CH12","Lig4"
"560","Sg1","0",2,0.0666666666666667,"SRR6293479","CH12","Lig4"
"561","Sg1","2",16,0.533333333333333,"SRR6293479","CH12","Lig4"
"562","Sg1","3",1,0.0333333333333333,"SRR6293479","CH12","Lig4"
"563","Sg1","4",5,0.166666666666667,"SRR6293479","CH12","Lig4"
"564","Sg1","5",4,0.133333333333333,"SRR6293479","CH12","Lig4"
"565","Sg1","6",2,0.0666666666666667,"SRR6293479","CH12","Lig4"
