"","material","Batch","Sample","nclusters_final_downsampled","nclusters_eff_downsampled","mean_cluster_size_downsampled","std_cluster_size_downsampled","cluster_gini_downsampled","cluster_entropy_downsampled","cluster_inverse_simpson_downsampled","top_clone_occupancy_downsampled","big_clones_occupancy_downsampled","alpha_ratio_clusters","frac_clusters_Sa","frac_clusters_Sm","insert_frequency","frac_breaks_inversions","frac_breaks_duplications","median_duplication_size","median_inversion_size","homology_fw","homology_rv","donor_score_S","donor_score_W","donor_score_WGCW","donor_score_GAGCT","donor_score_GGGST","donor_complexity","acceptor_score_S","acceptor_score_W","acceptor_score_WGCW","acceptor_score_GAGCT","acceptor_score_GGGST","acceptor_complexity","n_homology_switch","n_untemplated_switch","frac_blunt","mean_length","std_length","mean_GC","std_GC","mean_length_SA","std_length_SA","frac_breaks_single","frac_breaks_sequential","frac_breaks_intra","mean_intra_break_size","std_intra_break_size","spread_SM","spread_SA","frac_breaks_SM_SM","frac_breaks_SM_SA","frac_breaks_SA_SA","homology_fw_SM_SA","homology_rv_SM_SA","donor_score_GGGST_SM_SA","donor_score_S_SM_SA","donor_score_W_SM_SA","donor_score_WGCW_SM_SA","donor_score_GAGCT_SM_SA","donor_complexity_SM_SA","acceptor_score_GAGCT_SM_SA","acceptor_score_GGGST_SM_SA","acceptor_score_S_SM_SA","acceptor_score_W_SM_SA","acceptor_score_WGCW_SM_SA","acceptor_complexity_SM_SA","n_homology_switch_SA","n_untemplated_switch_SA","frac_blunt_SA","nclusters_final","nclusters_eff","mean_cluster_size","std_cluster_size","cluster_gini","cluster_entropy","cluster_inverse_simpson","top_clone_occupancy","big_clones_occupancy","frac_variants_germline","frac_variants_transitions","num_variants"
"1","splenocytes","20240817","20240817_S.A1",7.7,7.00672624620041,0.131825396825397,0.0777936850057354,0.332310139870345,0.9066657405336,5.59323045485773,0.277236886856416,0.998102488517782,1,1,0,0.571428571428571,0,0,1073,0,0.176776710504536,0.0162057400647909,0.0064157732110459,0.0069607199000571,0.0077686879183597,0.0032516850824259,0,0.0068297703310603,0.0067100660774198,0.0066158015015006,0.0090563358085743,0,0,0.0069207956317166,2.3373926336492,22.0016022575458,0,1828.42857142857,440.320940465299,0.49369400528392,0.0105845821938244,1828.42857142857,440.320940465299,0.874855729596044,0,0.125144270403957,726.234601449275,24.406806731422,144.658123190782,570.554298081912,0,0.874855729596044,0.125144270403957,0.170121025546872,0.0185211284603475,0,0.0131355601630894,0.0156689392878138,0.0127204899298945,0.0074336487089759,0.0157859374414431,0,0,0.0127133133966845,0.012255559326546,0.0229258291098176,0.0126313839123934,2.3373926336492,22.0016022575458,0,7,8.5216900635201,0.142857142857143,0.0821510325676542,0.293815825006751,0.925451747248214,5.45405273238518,0.282694621068912,1,0.333333333333333,0.606060606060606,33
"2","splenocytes","20240817","20240817_S.A2",2,2.99134032809426,0.5,0.0216190552365873,0.0216190552365873,0.998055758129951,1.99464720913191,0.521619055236587,1,1,1,0,0.5,0,0,1362,0,0.0592006424322269,0.0326259865362197,0.0058095095677028,0.0076712756384322,0.0041557465183719,0,0,0.0081668047093924,0.0059313345680545,0.0075284937744231,0.0055277009647215,0,0,0.0082620281335989,0.901677507466702,0.635925008794499,0,1493.5,36.5,0.493896941068809,0.0037008626374366,1493.5,36.5,1,0,0,0,0,75.2058385977607,50.0769955024022,0,1,0,0.0592006424322269,0.0326259865362197,0,0.0123030273262656,0.0166701792193243,0.0068693161627882,0,0.0180643465351793,0,0,0.0112378796802044,0.0139462923836283,0.0139932010435607,0.0150793138251645,0.901677507466702,0.635925008794499,0,2,3.57464533891235,0.5,0.0248907196153916,0.0176003966286564,0.999105996604543,1.99752487522494,0.517600396628656,1,0,0.4375,16
"3","splenocytes","20240817","20240817_S.A3",5.6,6.47081504515474,0.180952380952381,0.0459844801031078,0.141123067090503,0.977001110250071,5.19896423897502,0.248962307040486,0.999259259259259,1,1,0,0,0,0,1955,0,0.14080725554318,0.0064200013924287,0.0075869695094662,0.0055880493469997,0.0109222747468764,0,0,0.0043730551166654,0.0064067819171664,0.0069712579152121,0.0064050935632716,0,0,0.0072382198372957,3.06007664588741,0.995947431059965,0,1731,460.155625848473,0.494343201890127,0.0109399878304104,1731,460.155625848473,0.833060237071688,0,0.166939762928312,469.134196560135,18.1103782363467,268.397687034558,459.421148266423,0.0001571811768059,0.833060237071688,0.166782581751506,0.158993569150734,0.007690061240857,0,0.0162474043838173,0.0119265010840308,0.0216652155375223,0,0.0107350627868402,0,0,0.0121389076574658,0.0129137839289984,0.0162146430950797,0.0132104318436284,3.06007664588741,0.995947431059965,0,5,7.88085871802885,0.2,0.0455195988357199,0.110452843037113,0.9873961920332,4.80104158375944,0.261661559414368,1,0.638888888888889,0.5,36
"4","splenocytes","20240817","20240817_S.A4",7.5,7.71724927350143,0.135595238095238,0.0458736152593885,0.19703907397419,0.954367911563442,6.50199659064977,0.198309142929499,0.996623911163432,1,1,0,0,0.166658013602614,0,1272,172,0.128732177330628,0.0158086313601199,0.0068528496682174,0.0064484556596362,0.0099536157743414,0,0.0127421278888821,0.0062690386301801,0.0064453348146662,0.0069260729814786,0.0064420853152091,0,0.0073059620647949,0.007198172001458,1.31428451630698,1.21108007689549,0,1532.77777777778,328.950444689969,0.489315373331312,0.0051481513417363,1532.77777777778,328.950444689969,0.599962619151456,0,0.400037380848544,448.140593379512,428.282993897627,214.022967799055,613.563466923418,0.266712354370441,0.599962619151456,0.133325026478103,0.141575863542903,0.0166685656693012,0.0330802072586447,0.0146118448564976,0.0138934955816444,0.0175791721670316,0,0.0137237449700132,0,0,0.0125660692956656,0.0124242896912329,0.0171357284269102,0.0127273479089345,1.31428451630698,1.21108007689549,0,9,9.97969229901223,0.111111111111111,0.0690422174269902,0.323518347525734,0.889891992936785,6.70035904651002,0.189391607674156,0.989945624294655,0.0925925925925925,0.5,54
"5","splenocytes","20240817","20240817_S.B1",7.7,6.28477756265432,0.131150793650794,0.0982875827472515,0.404337447514367,0.86059953066309,4.8658638166298,0.292180788149371,0.998419388830348,1,1,0,0,0,0,2505.5,0,0.239814744776446,0.0118759880348834,0.0073042685816743,0.0059193817115447,0.0112251226793251,0.0276894828011845,0,0.0045689937741639,0.0068104458833558,0.0064981539270369,0.0061544359712814,0,0,0.0061624325595755,4.27137761803634,17.0494731633308,0,2189.42857142857,522.733162506143,0.506833310285959,0.0195399018002711,2189.42857142857,522.733162506143,0.699853740075219,0,0.300146259924781,156.223903453435,60.4248362002401,414.009416219371,230.979476487334,0.0999791057250313,0.699853740075219,0.20016715419975,0.121487892044404,0.0169669810351923,0,0.0156275296781994,0.0126719891661175,0.0231775964769723,0.0692381738173821,0.0115446891686352,0,0,0.0126610270942001,0.0123154753899079,0.0120468969997786,0.0119911984783539,4.27137761803634,17.0494731633308,0,7,7.72823811448667,0.142857142857143,0.105727853381888,0.360915951079885,0.88259716724963,4.76355120984949,0.290528233151184,1,0,0,0
"6","splenocytes","20240817","20240817_S.B3",4.2,4.74295310613324,0.24,0.0635290208685631,0.146222336573403,0.971739437788643,3.89196187505114,0.311880941503381,1,1,1,0,0,0,0,6.5,0,0.0827757765467624,0.049991406024065,0.0065466235557504,0.0068073601129099,0.0110394112097056,0.0622620870840556,0,0.0062959905308691,0.0069397976695834,0.0063465504868797,0.0089768550571769,0,0,0.006359251869175,1.5649714631035,14.1615723575729,0,1812.25,495.138048931811,0.499548540980194,0.0175152145415933,1812.25,495.138048931811,0.999831791421362,0,0.0001682085786375,75,0,395.373390620596,237.508040187542,0.0001682085786375,0.999831791421362,0,0.0827848023817144,0.0499914878638243,0,0.0138640426635908,0.0147928347828055,0.0182477938717509,0.124524174168111,0.0139262488548337,0,0,0.0131486628120684,0.0117566825286597,0.0227272727272725,0.0116058460205058,1.5649714631035,14.1615723575729,0,4,6.00585482665452,0.25,0.0671146474654486,0.124244634298812,0.979042776277668,3.79487735080979,0.309647843300688,1,0.380952380952381,0.5,42
"7","splenocytes","20240817","20240817_S.B4",6.8,6.61591739367115,0.148809523809524,0.0748274065099144,0.28558556586043,0.920549119237901,5.32686321282326,0.269981778844765,1,1,1,0,0.142857142857143,0,0,1386,0,0.0834316357783138,0.0067941242613218,0.0058505393016691,0.0076231877921067,0.0038967548122014,0,0,0.0078433929949596,0.0067320414383318,0.0065900458439243,0.0032086530011407,0,0,0.005662869145784,0.855065268206746,21.598929043486,0,1302.57142857143,207.769691961939,0.483686236242764,0.0081296925304901,1302.57142857143,207.769691961939,1,0,0,0,0,210.098496147649,256.985054913966,0,1,0,0.0834316357783138,0.0067941242613218,0,0.0123899176105992,0.0165656812121741,0.0064412111507621,0,0.0173489845924195,0,0,0.0127549492981877,0.0122078477999307,0.0081226041007899,0.010335498695878,0.855065268206746,21.598929043486,0,7,7.89335539437986,0.142857142857143,0.0822649898606769,0.297319350841669,0.91726933338834,5.45071070520681,0.269303998307595,1,0.0909090909090909,0.5,22
"8","splenocytes","20240817","20240817_S.C1",7.2,6.87798087367281,0.143015873015873,0.0603106910420526,0.240853570852806,0.917071550268081,5.78955002322726,0.213789272955246,0.993449312703956,1,1,0,0.333333333333333,0,0,1136,0,0.141324741384292,0.0102812512541982,0.0070368863432008,0.0062327601995557,0.011259894526979,0.0276781165382885,0,0.0058483066740151,0.0067949152242265,0.0065163562373457,0.0052230797290627,0,0,0.0067635952544024,2.16660703930672,0.586220835773742,0,1828.66666666667,357.352611420273,0.499651077488328,0.0113735122629187,1828.66666666667,357.352611420273,0.666607222469905,0,0.333392777530096,959.672995662979,800.09720901408,531.899938402236,958.984259189526,0.111190370040124,0.666607222469905,0.222202407489972,0.0879351341027035,0.0102121196075711,0,0.0152702133108699,0.013101713255461,0.0201163197410497,0.071170486524569,0.0120058635746884,0,0,0.0124355639639394,0.0125738387194341,0.0113725431330096,0.0132142173665032,2.16660703930672,0.586220835773742,0,6,8.27024279844359,0.166666666666667,0.0336076937210089,0.103526093088858,0.990497333909123,5.80335723109248,0.206629055007052,1,0.391304347826087,0.521739130434783,46
"9","splenocytes","20240817","20240817_S.C2",10.2,6.19887310381218,0.101981629481629,0.101209864725913,0.542244926727331,0.76187609154458,4.87233922036203,0.268064953983513,0.976577116225678,1,1,0,0.125,0.176470588235295,0,1354,289.5,0.248304069100174,0.0177657138917635,0.0071125909740731,0.0061440325305316,0.010878220302385,0,0,0.0055124512833278,0.0068341010753864,0.006470429466525,0.0075072766205803,0,0,0.0060845665992953,2.2749114053131,5.85322378879152,0,1687.75,320.4862516552,0.507482645952779,0.0174898252454601,1687.75,320.4862516552,0.571428571428571,0,0.428571428571429,390.312517297878,128.897379948099,482.298897526863,317.458929805069,0.214285714285716,0.571428571428571,0.214285714285713,0.080658838744088,0.0310899993105862,0,0.0153173102806258,0.0130450724063712,0.0190663430852998,0,0.0109770178900299,0,0,0.012354291852525,0.0126669702805828,0.0107927115546212,0.0128767594843425,2.2749114053131,5.85322378879152,0,8,7.55058854919499,0.125,0.110986200181329,0.460624666310731,0.808863420710304,4.73427561026793,0.270955686065136,0.986385477843032,0.540983606557377,0.524590163934426,61
"10","splenocytes","20240817","20240817_S.C3",1,1.18722700781416,1,0,0,0,1,1,1,1,1,0,0,0,0,1786,0,0.0766602400125127,0.0189898989898989,0.0071658018285149,0.0060816681146828,0.0110462358390535,0,0.055415263748597,0.0056059314371334,0.0071658018285149,0.0060816681146828,0.0138104107372063,0,0,0.0063933650890172,0.939646712463199,12.2767419038273,0,1939,0,0.518308406395049,0,1939,0,0.5,0,0.5,373.335858585859,6.26424252115453,286.801654502717,1.77555064530924,0.5,0.5,0,0.115408896658897,0,0.124684343434343,0.0151753008895866,0.013215859030837,0.018259074765924,0,0.0123998909899693,0,0,0.0126404494382022,0.0123390557939914,0.0279631984177438,0.0150789764793355,0.939646712463199,12.2767419038273,0,1,1.2764880431067,1,0,0,0,1,1,1,0,0.230769230769231,13
