BC01	20221118_BRCA1_7_switch
BC04	20221118_BRCA1_2_exon
BC12	20221118_53BP1_1_exon
BC32	20221118_53BP1_7_switch
BC47	20221118_WT_1_exon
BC49	20221118_Rif1_7_switch
BC55	20221118_Rif1_1_exon
BC72	20221118_WT_7_switch
BC75	20221118_WT_8_switch
BC76	20221118_BRCA1_8_switch
BC78	20221118_BRCA1_1_exon
BC82	20221118_Lig4_1_exon
BC91	20221118_WT_2_exon
BC92	20221118_Lig4_7_switch
